вибромассажер	[(0, 13, 'B-TYPE')]
колечки на крылечке	[(0, 7, 'B-BRAND'), (8, 10, 'I-BRAND'), (11, 19, 'I-BRAND')]
белая массанд	[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
liebendorl	[(0, 10, 'B-BRAND')]
или slavyanka	[(0, 3, 'O'), (4, 13, 'B-BRAND')]
лук зелен	[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE')]
кролика охлажденная	[(0, 7, 'B-TYPE'), (8, 19, 'I-TYPE')]
биок	[(0, 4, 'B-TYPE')]
чайники электрические	[(0, 7, 'B-TYPE'), (8, 21, 'I-TYPE')]
roti	[(0, 4, 'B-BRAND')]
булочка с курагой	[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]
talosto тор	[(0, 7, 'B-BRAND'), (8, 11, 'B-TYPE')]
пяженка	[(0, 7, 'B-TYPE')]
придонья	[(0, 8, 'B-BRAND')]
найка	[(0, 5, 'B-TYPE')]
палочка pacl	[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]
ofrel	[(0, 5, 'O')]
йогкурты	[(0, 8, 'B-TYPE')]
бородинский хлеб	[(0, 11, 'B-TYPE'), (12, 16, 'I-TYPE')]
идека о	[(0, 5, 'O'), (6, 7, 'O')]
ктесто	[(0, 6, 'B-TYPE')]
петрушкс	[(0, 8, 'B-TYPE')]
дезодорон	[(0, 9, 'B-TYPE')]
арбузы fresco	[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
бумажные салфетка	[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE')]
сделай са	[(0, 6, 'B-TYPE'), (7, 9, 'I-TYPE')]
сливушк	[(0, 7, 'B-TYPE')]
чай тес	[(0, 3, 'B-TYPE'), (4, 7, 'I-TYPE')]
томаты rost	[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
тимьян kotan	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
кака	[(0, 4, 'B-TYPE')]
спички boysco	[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
яйыо	[(0, 4, 'B-TYPE')]
дезодаранты	[(0, 11, 'B-TYPE')]
семечкиш	[(0, 8, 'B-TYPE')]
оливки,маслины	[(0, 14, 'B-TYPE')]
кариандер	[(0, 9, 'B-TYPE')]
пальто svass	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
бутерброд	[(0, 9, 'B-TYPE')]
вафли к чаю	[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 11, 'O')]
медови	[(0, 6, 'B-TYPE')]
liber	[(0, 5, 'B-BRAND')]
олиивь	[(0, 6, 'B-TYPE')]
gardex	[(0, 6, 'B-BRAND')]
puri	[(0, 4, 'B-BRAND')]
бутербродн	[(0, 10, 'B-TYPE')]
мухенская	[(0, 9, 'B-BRAND')]
floris чанах	[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]
casade	[(0, 6, 'B-BRAND')]
смеьана	[(0, 7, 'B-TYPE')]
losk кто-нибудь	[(0, 4, 'B-BRAND'), (5, 15, 'O')]
чернослив мэтр	[(0, 9, 'B-TYPE'), (10, 14, 'B-BRAND')]
котлеты	[(0, 7, 'B-TYPE')]
игровые набо	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
авоуадо	[(0, 7, 'B-TYPE')]
морская соль для ног	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE'), (13, 16, 'O'), (17, 20, 'O')]
радиоуправляемая игрушка	[(0, 16, 'B-TYPE'), (17, 24, 'I-TYPE')]
пелььмнни	[(0, 9, 'B-TYPE')]
зелен. ч	[(0, 6, 'B-TYPE'), (7, 8, 'I-TYPE')]
мицеляоная	[(0, 10, 'B-TYPE')]
ппомидоры	[(0, 9, 'B-TYPE')]
хлебопёк	[(0, 8, 'B-TYPE')]
огурцы по чилийски	[(0, 6, 'B-TYPE'), (7, 9, 'O'), (10, 18, 'O')]
варено-кпченое	[(0, 14, 'B-TYPE')]
паприкиа	[(0, 8, 'B-TYPE')]
галетные	[(0, 8, 'B-TYPE')]
овсянка хлопья	[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
омичка	[(0, 6, 'B-TYPE')]
мусооные	[(0, 8, 'B-TYPE')]
вафельные трубочки	[(0, 9, 'B-TYPE'), (10, 18, 'I-TYPE')]
artfruit лайм	[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE')]
порей	[(0, 5, 'B-TYPE')]
растит.масло	[(0, 12, 'B-TYPE')]
уукурузные	[(0, 10, 'B-TYPE')]
мужской гель для душа	[(0, 7, 'O'), (8, 12, 'B-TYPE'), (13, 16, 'O'), (17, 21, 'O')]
сахарная пуд	[(0, 8, 'B-TYPE'), (9, 12, 'I-TYPE')]
обложки ind	[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND')]
чипс	[(0, 4, 'B-TYPE')]
белищн	[(0, 6, 'B-TYPE')]
luminarc тарелк	[(0, 8, 'B-BRAND'), (9, 15, 'B-TYPE')]
арахис в глазури	[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 16, 'O')]
щетка salton	[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND')]
макарое	[(0, 7, 'B-TYPE')]
безоак	[(0, 6, 'B-TYPE')]
варенье	[(0, 7, 'B-TYPE')]
венник	[(0, 6, 'B-TYPE')]
романи	[(0, 6, 'O')]
салатик	[(0, 7, 'B-TYPE')]
молоко топленое	[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]
тонат	[(0, 5, 'B-TYPE')]
крем сливочный	[(0, 4, 'B-TYPE'), (5, 14, 'I-TYPE')]
сок вишнёвый	[(0, 3, 'B-TYPE'), (4, 12, 'I-TYPE')]
печенье песочное	[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]
палочка перекресто	[(0, 7, 'B-TYPE'), (8, 18, 'B-BRAND')]
специ для курочки	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 17, 'O')]
томата	[(0, 6, 'B-TYPE')]
манмела	[(0, 7, 'B-TYPE')]
пармизан	[(0, 8, 'B-BRAND')]
творог мягкий обезжиренный	[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE'), (14, 26, 'I-TYPE')]
йогурт эрмигурт	[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]
мермелад	[(0, 8, 'B-TYPE')]
суп ккриный в пакете	[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE'), (12, 13, 'O'), (14, 20, 'O')]
томатая	[(0, 7, 'B-TYPE')]
сахара	[(0, 6, 'B-TYPE')]
лмр	[(0, 3, 'O')]
понгасиус	[(0, 9, 'B-TYPE')]
соки, нектар	[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]
степлеру уп	[(0, 8, 'B-TYPE'), (9, 11, 'B-BRAND')]
сухарикии	[(0, 9, 'B-TYPE')]
б.ю.александров мороженое	[(0, 15, 'B-BRAND'), (16, 25, 'B-TYPE')]
грибами	[(0, 7, 'B-TYPE')]
сахару	[(0, 6, 'B-TYPE')]
гадировка	[(0, 9, 'B-TYPE')]
мультиварка vitess	[(0, 11, 'B-TYPE'), (12, 18, 'B-BRAND')]
прочие замороженны	[(0, 6, 'B-TYPE'), (7, 18, 'I-TYPE')]
воск ve	[(0, 4, 'B-TYPE'), (5, 7, 'B-BRAND')]
детское пюре салатик	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE'), (13, 20, 'O')]
рис пропар	[(0, 3, 'B-TYPE'), (4, 10, 'I-TYPE')]
шрколадку	[(0, 9, 'B-TYPE')]
киноя	[(0, 5, 'B-TYPE')]
ваниллин	[(0, 8, 'B-TYPE')]
айбе	[(0, 4, 'O')]
рисовая лапша	[(0, 7, 'B-TYPE'), (8, 13, 'I-TYPE')]
cool cola	[(0, 4, 'B-BRAND'), (5, 9, 'I-BRAND')]
ostrov торт	[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
снежок тольяттимолоко	[(0, 6, 'B-TYPE'), (7, 21, 'B-BRAND')]
кастрюль ess	[(0, 8, 'B-TYPE'), (9, 12, 'B-BRAND')]
итальянская салями	[(0, 11, 'B-TYPE'), (12, 18, 'I-TYPE')]
сыр с авокадо	[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 13, 'O')]
фасоль кру	[(0, 6, 'B-TYPE'), (7, 10, 'I-TYPE')]
колбаа	[(0, 6, 'B-TYPE')]
эскимо чистая линия	[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND'), (14, 19, 'I-BRAND')]
крупа пшеничная	[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE')]
золотой ключик	[(0, 7, 'B-BRAND'), (8, 14, 'I-BRAND')]
капуста papadimitrio	[(0, 7, 'B-TYPE'), (8, 20, 'B-BRAND')]
биолает	[(0, 7, 'B-TYPE')]
liberhous	[(0, 9, 'B-BRAND')]
клубнтка	[(0, 8, 'B-TYPE')]
арбузы	[(0, 6, 'B-TYPE')]
jacobs коф	[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]
вишневый сок детский	[(0, 8, 'B-TYPE'), (9, 12, 'I-TYPE'), (13, 20, 'I-TYPE')]
cykoria укро	[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
водка слобода	[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
мыло хозяйственное жидкое	[(0, 4, 'B-TYPE'), (5, 18, 'I-TYPE'), (19, 25, 'I-TYPE')]
ккурузные	[(0, 9, 'B-TYPE')]
термобел	[(0, 8, 'B-TYPE')]
корм жидкий в соусе	[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE'), (12, 13, 'O'), (14, 19, 'O')]
немоколо	[(0, 8, 'B-TYPE')]
чипсы с кр	[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 10, 'O')]
перепелин	[(0, 9, 'B-TYPE')]
батат artfruit	[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND')]
domest	[(0, 6, 'B-BRAND')]
колбасаы	[(0, 8, 'B-TYPE')]
лампочке	[(0, 8, 'B-TYPE')]
кофе nescafe gold	[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND'), (13, 17, 'I-BRAND')]
сом марина	[(0, 3, 'B-TYPE'), (4, 10, 'B-BRAND')]
перц	[(0, 4, 'B-TYPE')]
крица	[(0, 5, 'B-TYPE')]
наггется	[(0, 8, 'B-TYPE')]
бренди torr	[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND')]
печенка	[(0, 7, 'B-TYPE')]
киндер макми кинг	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND'), (13, 17, 'I-BRAND')]
limpopo красок	[(0, 7, 'B-BRAND'), (8, 14, 'B-TYPE')]
ацидобифеллин	[(0, 13, 'B-TYPE')]
маинэз	[(0, 6, 'B-TYPE')]
творожный сыр	[(0, 9, 'B-TYPE'), (10, 13, 'I-TYPE')]
креметки	[(0, 8, 'B-TYPE')]
дыня производств	[(0, 4, 'B-TYPE'), (5, 16, 'B-BRAND')]
мьло	[(0, 4, 'B-TYPE')]
сыр для чисбургера	[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 18, 'O')]
тарталетк	[(0, 9, 'B-TYPE')]
seksodyne	[(0, 9, 'B-BRAND')]
салфеткм	[(0, 8, 'B-TYPE')]
соусом кон	[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]
мусорные	[(0, 8, 'B-TYPE')]
мучных сме	[(0, 6, 'O'), (7, 10, 'O')]
присервы	[(0, 8, 'B-TYPE')]
восковые полоск	[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]
мармеладг	[(0, 9, 'B-TYPE')]
овощи сушенн	[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]
гель для стирки персил	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 15, 'O'), (16, 22, 'B-BRAND')]
ireo	[(0, 4, 'B-BRAND')]
хлеб восход черниговски	[(0, 4, 'B-TYPE'), (5, 11, 'B-BRAND'), (12, 23, 'I-BRAND')]
багетт	[(0, 6, 'B-TYPE')]
варено-копченые коровино	[(0, 15, 'B-TYPE'), (16, 24, 'B-BRAND')]
аонфеты	[(0, 7, 'B-TYPE')]
огурцы 6 соток	[(0, 6, 'B-TYPE'), (7, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
sanfo	[(0, 5, 'B-BRAND')]
чебоксарсий мясооминат	[(0, 11, 'O'), (12, 22, 'O')]
гречеа	[(0, 6, 'B-TYPE')]
чай с шиповником	[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 16, 'O')]
дрожжи dr.oetke	[(0, 6, 'B-TYPE'), (7, 15, 'B-BRAND')]
слейка	[(0, 6, 'B-TYPE')]
враеники	[(0, 8, 'B-TYPE')]
груши кулбаев	[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
бтны	[(0, 4, 'O')]
бифид	[(0, 5, 'B-TYPE')]
бальзам алкогольный	[(0, 7, 'B-TYPE'), (8, 19, 'I-TYPE')]
полотенг	[(0, 8, 'B-TYPE')]
торгадо	[(0, 7, 'B-BRAND')]
граната тенде	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
апельсин	[(0, 8, 'B-TYPE')]
безоактозный	[(0, 12, 'B-TYPE')]
граната тенд	[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]
пассатижи, пинце	[(0, 10, 'B-TYPE'), (11, 16, 'I-TYPE')]
кори для собак	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]
салфетки бумажные	[(0, 8, 'B-TYPE'), (9, 17, 'I-TYPE')]
бумаги attache	[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]
бакложаны	[(0, 9, 'B-TYPE')]
bebelac	[(0, 7, 'B-BRAND')]
чаше	[(0, 4, 'B-TYPE')]
zeitun лось	[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
одноразовые плат	[(0, 11, 'B-TYPE'), (12, 16, 'I-TYPE')]
дезодорнт	[(0, 9, 'B-TYPE')]
шпикачки ца	[(0, 8, 'B-TYPE'), (9, 11, 'B-BRAND')]
сулугуни zork	[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]
хлеб дачный	[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]
яйча	[(0, 4, 'B-TYPE')]
мороженое молочная станция	[(0, 9, 'B-TYPE'), (10, 18, 'B-BRAND'), (19, 26, 'I-BRAND')]
бритва beautific	[(0, 6, 'B-TYPE'), (7, 16, 'B-BRAND')]
паштет с г	[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 10, 'O')]
ариант шампанское	[(0, 6, 'B-BRAND'), (7, 17, 'B-TYPE')]
томаты в со	[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 11, 'O')]
пирожные аккон	[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]
твороженные	[(0, 11, 'B-TYPE')]
колбаса флотская	[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE')]
delikai	[(0, 7, 'B-BRAND')]
хрустяш	[(0, 7, 'B-TYPE')]
лук.	[(0, 4, 'B-TYPE')]
kamis шафра	[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
чай зелен	[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE')]
соус грибной	[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]
черноголовка кв	[(0, 12, 'B-BRAND'), (13, 15, 'B-TYPE')]
булки для бургер	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 16, 'O')]
пончикт	[(0, 7, 'B-TYPE')]
пончики берлинские	[(0, 7, 'B-TYPE'), (8, 18, 'I-TYPE')]
емк капус	[(0, 3, 'B-BRAND'), (4, 9, 'B-TYPE')]
смородиновый	[(0, 12, 'B-TYPE')]
ессениуки	[(0, 9, 'B-TYPE')]
ольви	[(0, 5, 'B-BRAND')]
компот детский	[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]
масло подс	[(0, 5, 'B-TYPE'), (6, 10, 'O')]
термостатное	[(0, 12, 'B-TYPE')]
белочк	[(0, 6, 'B-TYPE')]
помидоры маринованые	[(0, 8, 'B-TYPE'), (9, 20, 'I-TYPE')]
atlantic плавк	[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]
макарощки	[(0, 9, 'B-TYPE')]
пиродок	[(0, 7, 'B-TYPE')]
руле	[(0, 4, 'B-TYPE')]
грен	[(0, 4, 'B-TYPE')]
снэки беллини	[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
вяленпый	[(0, 8, 'B-TYPE')]
релис	[(0, 5, 'B-TYPE')]
оврщи	[(0, 5, 'B-TYPE')]
лепешки карав	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
приправы для подливы	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O')]
стерилизованный молочны	[(0, 15, 'B-TYPE'), (16, 23, 'I-TYPE')]
агар	[(0, 4, 'B-TYPE')]
винный уксус	[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]
artfruit крыжовн	[(0, 8, 'B-BRAND'), (9, 16, 'B-TYPE')]
воды со вкусом	[(0, 4, 'B-TYPE'), (5, 7, 'O'), (8, 14, 'O')]
энернетик	[(0, 9, 'B-TYPE')]
однораз	[(0, 7, 'B-TYPE')]
heint	[(0, 5, 'B-BRAND')]
пдавки	[(0, 6, 'B-TYPE')]
юбилйное	[(0, 8, 'B-TYPE')]
жидкость для розжига	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 20, 'O')]
гель bag	[(0, 4, 'B-TYPE'), (5, 8, 'B-BRAND')]
бруске	[(0, 6, 'B-TYPE')]
прочая круп	[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]
тунец в собственн	[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 17, 'O')]
энергеиик	[(0, 9, 'B-TYPE')]
мираторг корм кошачий	[(0, 8, 'B-BRAND'), (9, 13, 'B-TYPE'), (14, 21, 'I-TYPE')]
пролине	[(0, 7, 'B-TYPE')]
творожок тема	[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]
ерсик	[(0, 5, 'B-TYPE')]
минералках	[(0, 10, 'B-TYPE')]
тирамиму	[(0, 8, 'B-TYPE')]
помада гигиеническая	[(0, 6, 'B-TYPE'), (7, 20, 'I-TYPE')]
охлажденны	[(0, 10, 'B-TYPE')]
ятцо	[(0, 4, 'B-TYPE')]
хлб	[(0, 3, 'B-TYPE')]
рис селяноч	[(0, 3, 'B-TYPE'), (4, 11, 'B-BRAND')]
лепешки каравай	[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND')]
тесто для чеб	[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 13, 'O')]
мароденое	[(0, 9, 'B-TYPE')]
everoess	[(0, 8, 'B-BRAND')]
цуккини	[(0, 7, 'B-TYPE')]
творош	[(0, 6, 'B-TYPE')]
грудкак	[(0, 7, 'B-TYPE')]
picnoc	[(0, 6, 'B-BRAND')]
сыр тверд.	[(0, 3, 'B-TYPE'), (4, 10, 'I-TYPE')]
богдаша	[(0, 7, 'B-BRAND')]
limpopo бумаг	[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]
козоч	[(0, 5, 'B-TYPE')]
подушк	[(0, 6, 'B-TYPE')]
кадачи	[(0, 6, 'B-TYPE')]
pep	[(0, 3, 'B-BRAND')]
яйца куринные	[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]
вермишели	[(0, 9, 'B-TYPE')]
сырй	[(0, 4, 'B-TYPE')]
или бумага	[(0, 3, 'O'), (4, 10, 'B-TYPE')]
кефир первый вкус	[(0, 5, 'B-TYPE'), (6, 12, 'B-BRAND'), (13, 17, 'I-BRAND')]
тортилии	[(0, 8, 'B-TYPE')]
пюре овощи мясо	[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE'), (11, 15, 'I-TYPE')]
carat пироги	[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE')]
мллко	[(0, 5, 'B-TYPE')]
сыр плавленый viola	[(0, 3, 'B-TYPE'), (4, 13, 'I-TYPE'), (14, 19, 'B-BRAND')]
tkano хлебниц	[(0, 5, 'B-BRAND'), (6, 13, 'B-TYPE')]
орехт	[(0, 5, 'B-TYPE')]
clipstudio блокнот	[(0, 10, 'B-BRAND'), (11, 18, 'B-TYPE')]
саолат	[(0, 6, 'B-TYPE')]
компотн	[(0, 7, 'B-TYPE')]
яарш	[(0, 4, 'B-TYPE')]
из кильки	[(0, 2, 'B-TYPE'), (3, 9, 'I-TYPE')]
элика сырнич	[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE')]
бритье adida	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
морская капуста	[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
natura	[(0, 6, 'B-BRAND')]
кальмы	[(0, 6, 'B-TYPE')]
к репчаый	[(0, 1, 'O'), (2, 9, 'O')]
аразисовая	[(0, 10, 'B-TYPE')]
смакароны	[(0, 9, 'B-TYPE')]
шоколад темный	[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
ххяйца	[(0, 6, 'B-TYPE')]
пирожнын	[(0, 8, 'B-TYPE')]
сыо	[(0, 3, 'B-TYPE')]
мандврины	[(0, 9, 'B-TYPE')]
коптильный двор для	[(0, 10, 'B-TYPE'), (11, 15, 'O'), (16, 19, 'O')]
блинная	[(0, 7, 'B-TYPE')]
диски aste	[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
марципанов	[(0, 10, 'B-TYPE')]
корм доя котят	[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]
гурманский	[(0, 10, 'B-TYPE')]
порошок автомат	[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
масло раф	[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')]
пшено шебекински	[(0, 5, 'B-TYPE'), (6, 16, 'B-BRAND')]
мясоде	[(0, 6, 'B-TYPE')]
garard	[(0, 6, 'B-BRAND')]
кардамон айдиг	[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]
лый	[(0, 3, 'O')]
ийгурты	[(0, 7, 'B-TYPE')]
кемпи	[(0, 5, 'B-TYPE')]
домашенька	[(0, 10, 'B-TYPE')]
рис для поов	[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 12, 'O')]
kender	[(0, 6, 'B-BRAND')]
рыбная	[(0, 6, 'B-TYPE')]
заправка для ю	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 14, 'O')]
вкчина	[(0, 6, 'B-TYPE')]
твород	[(0, 6, 'B-TYPE')]
крупа перловая	[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]
зубочистк	[(0, 9, 'B-TYPE')]
соса здоровье	[(0, 4, 'B-TYPE'), (5, 13, 'B-BRAND')]
одноразовые стан	[(0, 11, 'B-TYPE'), (12, 16, 'I-TYPE')]
хлеб белый	[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')]
шейка свиная	[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]
растительное масло	[(0, 12, 'B-TYPE'), (13, 18, 'I-TYPE')]
корм жидкий для котят	[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE'), (12, 15, 'O'), (16, 21, 'O')]
батарейки var	[(0, 9, 'B-TYPE'), (10, 13, 'B-BRAND')]
l'or	[(0, 4, 'B-BRAND')]
огкэурец	[(0, 8, 'B-TYPE')]
кексы с шо	[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 10, 'O')]
лимнад	[(0, 6, 'B-TYPE')]
молоко без лакиозы	[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 18, 'O')]
малярные инструмент	[(0, 8, 'B-TYPE'), (9, 19, 'I-TYPE')]
рельмени	[(0, 8, 'B-TYPE')]
моелоеко	[(0, 8, 'B-TYPE')]
cахъар	[(0, 6, 'B-TYPE')]
соусы диабетически	[(0, 5, 'B-TYPE'), (6, 18, 'I-TYPE')]
лак для воло	[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 12, 'O')]
стров	[(0, 5, 'O')]
покрао плед	[(0, 6, 'O'), (7, 11, 'O')]
малоежкп	[(0, 8, 'B-TYPE')]
болгарский перец	[(0, 10, 'B-TYPE'), (11, 16, 'I-TYPE')]
кабачоу	[(0, 7, 'B-TYPE')]
ребрашки	[(0, 8, 'B-TYPE')]
шоколад изюм	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
панироаочные	[(0, 12, 'B-TYPE')]
triol мис	[(0, 5, 'B-BRAND'), (6, 9, 'B-TYPE')]
meli	[(0, 4, 'O')]
перчатки н	[(0, 8, 'B-TYPE'), (9, 10, 'B-BRAND')]
салатники альтернатив	[(0, 9, 'B-TYPE'), (10, 21, 'B-BRAND')]
ваниль производств	[(0, 6, 'B-TYPE'), (7, 18, 'B-BRAND')]
велмит	[(0, 6, 'B-BRAND')]
укроп свежи	[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE')]
пивр	[(0, 4, 'B-TYPE')]
сыррки	[(0, 6, 'B-TYPE')]
капсульная	[(0, 10, 'B-TYPE')]
pureco	[(0, 6, 'B-BRAND')]
шармель	[(0, 7, 'B-BRAND')]
срофетки	[(0, 8, 'B-TYPE')]
колбасао	[(0, 8, 'B-TYPE')]
шипучка	[(0, 7, 'B-TYPE')]
творожокэ	[(0, 9, 'B-TYPE')]
крем-мыло niv	[(0, 9, 'B-TYPE'), (10, 13, 'B-BRAND')]
зубные пас	[(0, 6, 'B-TYPE'), (7, 10, 'I-TYPE')]
огруре	[(0, 6, 'B-TYPE')]
csaeon	[(0, 6, 'O')]
тефтельки	[(0, 9, 'B-TYPE')]
шпротами	[(0, 8, 'B-TYPE')]
конфеты развесные	[(0, 7, 'B-TYPE'), (8, 17, 'I-TYPE')]
масло растительное нерафинированное	[(0, 5, 'B-TYPE'), (6, 18, 'I-TYPE'), (19, 35, 'O')]
яйцаэ	[(0, 5, 'B-TYPE')]
энергентик	[(0, 10, 'B-TYPE')]
дак для волос	[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 13, 'O')]
ребрешки	[(0, 8, 'B-TYPE')]
колсбаса	[(0, 8, 'B-TYPE')]
хлнбец	[(0, 6, 'B-TYPE')]
окрош	[(0, 5, 'B-TYPE')]
мультизлаковый	[(0, 14, 'B-TYPE')]
нектарин artfru	[(0, 8, 'B-TYPE'), (9, 15, 'B-BRAND')]
прокладки каждый день	[(0, 9, 'B-TYPE'), (10, 16, 'O'), (17, 21, 'O')]
сосиски детские	[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]
тряпка	[(0, 6, 'B-TYPE')]
landliebe пудинг	[(0, 9, 'B-BRAND'), (10, 16, 'B-TYPE')]
тарелочки	[(0, 9, 'B-TYPE')]
oena	[(0, 4, 'O')]
коньяка garlin	[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
кордо	[(0, 5, 'B-TYPE')]
мульти	[(0, 6, 'B-TYPE')]
burlesco парео	[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]
розовое	[(0, 7, 'B-TYPE')]
облепихо	[(0, 8, 'B-TYPE')]
брынза тендер	[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]
морожиное	[(0, 9, 'B-TYPE')]
для кошек паштет	[(0, 3, 'O'), (4, 9, 'O'), (10, 16, 'B-TYPE')]
кочет	[(0, 5, 'B-TYPE')]
творжны	[(0, 7, 'B-TYPE')]
laimon	[(0, 6, 'B-BRAND')]
